platform,region,rank,amount,relevant_at
PC,ncsa,3,1377,2018-02-13
XBOX,apac,0,567904,2018-02-13
PC,apac,0,548787,2018-02-13
XBOX,ncsa,3,3309,2018-02-13
PC,emea,0,421971,2018-02-13
XBOX,emea,0,471177,2018-02-13
XBOX,emea,14,14933,2018-02-13
PC,apac,17,7191,2018-02-13
PS4,ncsa,9,13376,2018-02-13
XBOX,apac,17,1943,2018-02-13
PC,emea,14,26214,2018-02-13
PC,apac,14,8183,2018-02-13
XBOX,emea,17,13259,2018-02-13
PC,emea,17,19739,2018-02-13
XBOX,apac,14,2336,2018-02-13
PS4,ncsa,10,15064,2018-02-13
PS4,apac,7,2698,2018-02-13
PS4,ncsa,12,17385,2018-02-13
PS4,emea,7,12633,2018-02-13
PC,apac,19,724,2018-02-13
XBOX,apac,19,202,2018-02-13
PS4,emea,6,10455,2018-02-13
PS4,apac,2,871,2018-02-13
PS4,emea,2,3875,2018-02-13
PS4,ncsa,18,12068,2018-02-13
XBOX,emea,19,1537,2018-02-13
PS4,apac,6,2243,2018-02-13
XBOX,ncsa,11,15817,2018-02-13
PC,emea,19,2031,2018-02-13
PC,ncsa,11,6662,2018-02-13
PC,ncsa,2,1130,2018-02-13
PC,emea,18,6040,2018-02-13
XBOX,emea,18,4531,2018-02-13
XBOX,ncsa,2,2416,2018-02-13
PS4,ncsa,19,4364,2018-02-13
PS4,emea,11,21197,2018-02-13
XBOX,ncsa,6,6949,2018-02-13
PS4,apac,11,4482,2018-02-13
XBOX,apac,18,527,2018-02-13
PC,apac,18,1817,2018-02-13
PC,ncsa,6,2779,2018-02-13
PC,ncsa,7,3410,2018-02-13
XBOX,apac,10,1052,2018-02-13
PC,apac,12,3134,2018-02-13
XBOX,apac,12,1224,2018-02-13
PC,apac,10,2732,2018-02-13
XBOX,ncsa,7,8558,2018-02-13
PC,emea,10,9061,2018-02-13
XBOX,emea,12,6891,2018-02-13
XBOX,emea,10,5624,2018-02-13
PC,emea,12,10969,2018-02-13
XBOX,apac,9,909,2018-02-13
PC,apac,9,2295,2018-02-13
PS4,ncsa,17,33730,2018-02-13
PC,emea,9,7442,2018-02-13
PS4,ncsa,14,36495,2018-02-13
XBOX,emea,9,4942,2018-02-13
PS4,ncsa,0,690869,2018-02-13
PS4,apac,3,1182,2018-02-13
PS4,emea,3,5110,2018-02-13
PS4,ncsa,3,3908,2018-02-13
PS4,apac,0,908136,2018-02-13
PS4,emea,0,589511,2018-02-13
PC,ncsa,9,5227,2018-02-13
PS4,apac,17,10290,2018-02-13
XBOX,ncsa,9,12725,2018-02-13
PS4,emea,14,48100,2018-02-13
PS4,apac,14,10252,2018-02-13
PS4,emea,17,44164,2018-02-13
XBOX,ncsa,12,17110,2018-02-13
PC,ncsa,10,6290,2018-02-13
XBOX,apac,7,673,2018-02-13
PC,apac,7,1363,2018-02-13
XBOX,ncsa,10,14678,2018-02-13
PC,ncsa,12,7458,2018-02-13
PC,emea,7,4633,2018-02-13
XBOX,emea,7,3240,2018-02-13
XBOX,apac,2,202,2018-02-13
PS4,apac,19,1152,2018-02-13
XBOX,emea,6,2569,2018-02-13
PC,emea,6,3768,2018-02-13
PC,apac,2,410,2018-02-13
PC,emea,2,1427,2018-02-13
PC,ncsa,18,3815,2018-02-13
PC,apac,6,1198,2018-02-13
XBOX,apac,6,565,2018-02-13
PS4,emea,19,6087,2018-02-13
PS4,ncsa,11,16193,2018-02-13
XBOX,ncsa,18,12142,2018-02-13
XBOX,emea,2,871,2018-02-13
XBOX,apac,16,1230,2018-02-13
PC,apac,16,4405,2018-02-13
PC,emea,16,15673,2018-02-13
XBOX,emea,16,9400,2018-02-13
PC,apac,8,1708,2018-02-13
XBOX,apac,8,788,2018-02-13
PS4,apac,1,2658,2018-02-13
PS4,ncsa,5,6417,2018-02-13
PC,ncsa,20,1342,2018-02-13
PS4,emea,1,15050,2018-02-13
XBOX,emea,8,4100,2018-02-13
PC,emea,8,5723,2018-02-13
XBOX,ncsa,20,4121,2018-02-13
PC,ncsa,15,13809,2018-02-13
PS4,apac,13,11395,2018-02-13
XBOX,ncsa,15,31728,2018-02-13
PS4,emea,13,51562,2018-02-13
PC,ncsa,4,1654,2018-02-13
XBOX,ncsa,4,4105,2018-02-13
PC,emea,4,2299,2018-02-13
XBOX,emea,4,1679,2018-02-13
XBOX,apac,4,346,2018-02-13
PC,apac,4,692,2018-02-13
XBOX,apac,15,1812,2018-02-13
PC,apac,15,6572,2018-02-13
PS4,ncsa,13,38764,2018-02-13
PC,emea,15,21642,2018-02-13
XBOX,emea,15,12334,2018-02-13
XBOX,ncsa,8,10448,2018-02-13
PC,emea,20,2414,2018-02-13
PS4,apac,5,1938,2018-02-13
PS4,ncsa,1,10768,2018-02-13
XBOX,emea,20,1586,2018-02-13
PC,ncsa,8,4186,2018-02-13
XBOX,apac,20,260,2018-02-13
PS4,emea,5,8664,2018-02-13
PC,ncsa,16,9930,2018-02-13
XBOX,ncsa,16,24984,2018-02-13
PS4,apac,16,6025,2018-02-13
PS4,emea,16,32051,2018-02-13
XBOX,apac,1,553,2018-02-13
XBOX,ncsa,5,5525,2018-02-13
PS4,apac,8,3097,2018-02-13
