level,avg_time_ranked,avg_time_casual,avg_time_total,count
125,449265.261388060736,559268.878700686404,1008534.140088747140,28846
126,460489.357293794464,566193.876910614919,1026683.234204409382,28394
127,470809.285851575013,572420.337070653141,1043229.622922228154,28095
128,476693.332388119388,583081.395135783619,1059774.727523903007,27507
129,488538.465513497865,587058.619924730405,1075597.085438228270,27634
130,498846.299459737587,595329.364989525525,1094175.664449263111,27209
131,504895.999598496186,606422.739424024528,1111318.739022520714,27397
132,516544.051118091392,613554.273502355845,1130098.324620447237,26742
133,522985.872795539879,624143.253840027307,1147129.126635567186,26367
134,537424.509652364075,628514.122766005580,1165938.632418369655,26522
135,549509.886266422243,635115.844294225481,1184625.730560647724,26184
136,559590.114915844457,642024.574037531437,1201614.688953375895,25845
137,566098.359047322055,652378.887697824901,1218477.246745146956,25654
138,577683.315702544339,661700.595894451217,1239383.911596995556,25429
139,591099.920310713300,667201.127084894129,1258301.047395607429,25361
140,601480.784027721815,673766.351760818761,1275247.135788540575,24818
141,611521.403447292286,683585.399046493623,1295106.802493785909,24541
142,624018.985641405414,691507.289928412738,1315526.275569818152,24306
143,628152.651444393933,704016.207505062611,1332168.858949456544,24197
144,643418.376217583808,709091.404554079696,1352509.780771663504,23715
145,655552.724340425532,716791.042425531915,1372343.766765957447,23500
146,671319.035348316542,719765.799578059072,1391084.834926375614,23226
147,675554.044274545376,734985.063452982593,1410539.107727527969,23151
148,691687.466562778272,741337.365093499555,1433024.831656277827,22460
149,703404.359503947897,746096.294464022840,1449500.653967970736,22417
150,713589.249672257131,759609.327109985986,1473198.576782243117,22121
151,728204.231822582876,763687.258564249159,1491891.490386832035,21689
152,737207.248591020101,775123.423022731542,1512330.671613751644,21292
153,750641.683789413881,784426.096865827100,1535067.780655240981,21122
154,760961.166642282370,792665.554840282858,1553626.721482565228,20505
155,774635.975027881492,800968.990544537652,1575604.965572419144,20624
156,791741.984341812793,805415.546702889602,1597157.531044702396,20245
157,797352.534874371859,819061.496783919598,1616414.031658291457,19900
158,809838.401242425785,830079.161617190285,1639917.562859616070,19639
159,823670.075074137662,837113.689714374902,1660783.764788512564,19221
160,844001.584535701073,838241.548491094551,1682243.133026795624,18921
161,856146.587948319305,846134.168766418271,1702280.756714737576,18653
162,869076.075589005236,856198.247327661431,1725274.322916666667,18336
163,877273.659167414722,871509.250336624776,1748782.909504039497,17824
164,896785.264358637997,870836.956367991787,1767622.220726629784,17533
165,906605.234926874386,886522.940748020117,1793128.175674894503,17299
166,923180.539371468927,893608.355225988701,1816788.894597457627,16992
167,931254.849066730276,907792.678931361441,1839047.527998091717,16769
168,949391.598219220141,908951.914215535769,1858343.512434755910,16285
169,964727.593913310790,917239.057116507839,1881966.651029818629,16265
170,971728.909621178130,934563.314723415166,1906292.224344593295,15601
171,993169.795461891525,934203.253022173379,1927373.048484064904,15469
172,1011674.671448131968,942219.028362782813,1953893.699810914781,15337
173,1016285.689286898839,959030.037412935323,1975315.726699834163,15075
174,1025503.309483517227,970324.111690245719,1995827.421173762946,14773
175,1047891.314934388669,972249.416857599111,2020140.731791987780,14403
176,1066700.250071042910,979583.565075305485,2046283.815146348394,14076
177,1080749.094037031637,989963.065169849832,2070712.159206881470,13718
178,1099092.621333928837,995142.823805270210,2094235.445139199047,13434
179,1108644.770710728837,1014098.817338162064,2122743.588048890901,13254
180,1125014.240009384531,1018380.432314068976,2143394.672323453507,12787
181,1142838.661928452973,1025171.081339335071,2168009.743267788044,12663
182,1146039.444749374445,1048852.647106303979,2194892.091855678424,12389
183,1180055.041460446247,1038189.741825557809,2218244.783286004057,12325
184,1176405.219597696353,1068857.323762624155,2245262.543360320507,11981
185,1199634.871396513033,1070556.654583117556,2270191.525979630589,11586
186,1215689.988744822618,1076255.662704844228,2291945.651449666847,11106
187,1228626.990401865806,1088859.964657337639,2317486.955059203445,11148
188,1246563.696553005668,1098747.497723682988,2345311.194276688656,10763
189,1261328.335998477061,1106524.171330668190,2367852.507329145250,10506
190,1292696.131588890988,1106526.917721518987,2399223.049310409975,10586
191,1309891.757125890736,1111870.839865399842,2421762.596991290578,10104
192,1310480.055200165085,1139257.382893107718,2449737.438093272802,9692
193,1341537.586556753329,1131286.943986472205,2472824.530543225534,9462
194,1349389.001392459297,1152223.461653813196,2501612.463046272494,9336
195,1370132.130012017918,1155198.858625587239,2525330.988637605157,9153
196,1385366.816595839857,1166129.081525385820,2551495.898121225677,8942
197,1402197.733812142296,1172144.065873639322,2574341.799685781618,8911
198,1432586.977068672652,1176892.523901965542,2609479.500970638195,8242
199,1434397.114748023715,1206198.186264822134,2640595.301012845850,8096
200,1455354.286270691334,1203097.903237585200,2658452.189508276534,8216
201,1459516.811013767209,1226148.086357947434,2685664.897371714643,7990
202,1483376.072956455309,1225012.940157881334,2708389.013114336644,7854
203,1485380.898359343737,1254561.990662931839,2739942.889022275577,7497
